ASV_ID,edge_type
ASV_00003,pos
ASV_00004,pos
ASV_00006,pos
ASV_00020,pos
ASV_00095,pos
ASV_00001,neg
ASV_00003,neg
ASV_00004,neg
ASV_00006,neg
ASV_00019,neg
ASV_00020,neg
ASV_00037,neg
ASV_00042,neg
ASV_00064,neg
ASV_00095,neg
ASV_00125,neg
ASV_00127,neg
ASV_00148,neg
ASV_00162,neg
ASV_00213,neg
ASV_00264,neg
ASV_00272,neg
ASV_00280,neg
ASV_00295,neg
ASV_00326,neg
ASV_00354,neg
ASV_00378,neg
ASV_00411,neg
ASV_00421,neg
ASV_00451,neg
ASV_00468,neg
ASV_00482,neg
ASV_00542,neg
ASV_00613,neg
ASV_00697,neg
ASV_00757,neg
ASV_00987,neg
ASV_01417,neg
